time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.2335	1.61113	5.26531	0.403513	0.467544	radar	2.48737	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.323	1.44027	5.20884	0.305913	0.355901	lidar	0.452052	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.7004	1.80518	5.07517	0.458835	0.516641	radar	1.72529	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.7845	1.52782	5.09007	0.292582	0.26909	lidar	0.702453	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.2377	1.78869	5.10735	0.353976	0.261983	radar	3.28435	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4004	1.63584	5.39088	0.263501	0.163964	lidar	2.71949	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.7017	1.82643	4.98742	0.307936	0.16055	radar	1.6928	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8607	1.76659	5.24498	0.281353	0.167144	lidar	0.530915	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1824	2.05461	5.21023	0.354413	0.189375	radar	1.12878	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.349	1.84798	5.16969	0.25417	0.0869341	lidar	0.421655	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6916	2.07165	5.25465	0.275587	0.0329905	radar	1.65748	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.7353	2.08859	4.97398	0.358151	0.261148	lidar	2.35946	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1891	2.38472	5.45354	0.362449	0.143873	radar	1.28539	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.1463	2.34212	4.91281	0.445943	0.374268	lidar	0.685182	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.505	2.88272	5.17466	0.572996	0.46184	radar	11.2746	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6856	2.58289	5.1797	0.470963	0.34798	lidar	1.81331	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.948	3.01791	5.12122	0.540983	0.352982	radar	0.943258	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1642	2.88015	5.29645	0.535702	0.401099	lidar	0.4699	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.455	3.1165	5.22076	0.465318	0.168301	radar	1.87127	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.5603	3.0399	5.03984	0.517181	0.297741	lidar	2.1295	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8676	3.56207	5.4119	0.572211	0.267532	radar	1.63279	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	14.9953	3.39766	5.17825	0.611335	0.413542	lidar	1.07873	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2714	3.97717	5.36204	0.67628	0.404981	radar	0.944269	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4525	3.75789	5.34769	0.671229	0.445316	lidar	0.764338	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7363	4.04168	5.1691	0.599347	0.270129	radar	2.62065	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
